Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
16-06-2020,10:38,ACCIONA,ES0125220311,MAD,-30,EUR,94.0000,EUR,2820.00,EUR,2820.00,,EUR,-3.41,EUR,2816.59,18b59daa-b4aa-49f1-b585-b38e68fc7353
15-06-2020,09:05,NOVO NORDISK B A/S,DK0060534915,OMK,50,DKK,426.0000,DKK,-21300.00,EUR,-2859.89,7.4478,EUR,-5.43,EUR,-2865.32,3a865a9e-8c41-4a92-a838-a6fdeeeb4e0a
12-06-2020,17:21,TESLA MOTORS INC. - C,US88160R1014,NDQ,3,USD,932.0000,USD,-2796.00,EUR,-2489.15,1.1233,EUR,-0.51,EUR,-2489.66,f89a89c2-2ac1-4728-8f4e-58f1f273d899
12-06-2020,09:44,INT.AIRL.GRP,ES0177542018,MAD,-766,EUR,3.0150,EUR,2309.49,EUR,2309.49,,EUR,-1.15,EUR,2308.34,fe616daf-83ab-4b5b-ad58-83871e444a6f
12-06-2020,09:44,INT.AIRL.GRP,ES0177542018,MAD,-234,EUR,3.0150,EUR,705.51,EUR,705.51,,EUR,-2.35,EUR,703.16,fe616daf-83ab-4b5b-ad58-83871e444a6f
12-06-2020,09:42,INT.AIRL.GRP,ES0177542018,MAD,1000,EUR,3.0000,EUR,-3000.00,EUR,-3000.00,,EUR,-3.50,EUR,-3003.50,fade9e23-e35c-4183-a3e7-143eb623a237
11-06-2020,17:14,ACCIONA,ES0125220311,MAD,30,EUR,90.0000,EUR,-2700.00,EUR,-2700.00,,EUR,-3.35,EUR,-2703.35,3d723602-0627-4d31-99b7-723d68cbcf72
11-06-2020,15:46,INT.AIRL.GRP,ES0177542018,MAD,-260,EUR,2.9950,EUR,778.70,EUR,778.70,,EUR,-0.39,EUR,778.31,8c829fbd-bf53-48c0-900a-39b1425ffa40
11-06-2020,15:46,INT.AIRL.GRP,ES0177542018,MAD,-740,EUR,2.9950,EUR,2216.30,EUR,2216.30,,EUR,-3.11,EUR,2213.19,8c829fbd-bf53-48c0-900a-39b1425ffa40
11-06-2020,15:39,INT.AIRL.GRP,ES0177542018,MAD,1000,EUR,2.9390,EUR,-2939.00,EUR,-2939.00,,EUR,-3.47,EUR,-2942.47,54f27038-2c93-4392-bae8-b9aa8204d8d7
11-06-2020,09:08,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,300,EUR,7.9000,EUR,-2370.00,EUR,-2370.00,,EUR,-3.19,EUR,-2373.19,5f851d62-9454-49c8-83bf-deef9363451f
10-06-2020,16:07,TESLA MOTORS INC. - C,US88160R1014,NDQ,3,USD,1000.0000,USD,-3000.00,EUR,-2643.26,1.1350,EUR,-0.51,EUR,-2643.77,70b05f2f-9a66-4e1a-a6ea-055b2eaab34e
10-06-2020,09:05,INDITEX,ES0148396007,MAD,-76,EUR,25.7500,EUR,1957.00,EUR,1957.00,,EUR,-0.98,EUR,1956.02,c26af483-94fc-4460-874c-5765c48b0c10
